City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,margaret river,-33.95,115.0667,12.27,72,86,2.27,AU,2023-04-27
1,port alfred,-33.5906,26.891,18.99,85,89,0.45,ZA,2023-04-27
2,guerrero negro,27.9769,-114.0611,18.94,67,12,8.13,MX,2023-04-27
3,loa janan,-0.583,117.095,23.79,98,99,0.55,ID,2023-04-27
4,morehead city,34.7229,-76.726,22.02,86,100,4.47,US,2023-04-27
5,port-aux-francais,-49.35,70.2167,5.8,68,84,12.3,TF,2023-04-27
6,grytviken,-54.2811,-36.5092,2.38,83,44,3.54,GS,2023-04-27
7,balabac,7.9868,117.0645,27.85,82,100,4.98,PH,2023-04-27
8,adamstown,-25.066,-130.1015,23.87,65,89,2.22,PN,2023-04-27
9,utrik,11.2278,169.8474,26.84,83,64,9.14,MH,2023-04-27
10,punta arenas,-53.15,-70.9167,5.06,65,0,2.06,CL,2023-04-27
11,ancud,-41.8697,-73.8203,12.65,94,100,4.97,CL,2023-04-27
12,port lincoln,-34.7333,135.8667,15.6,51,87,7.09,AU,2023-04-27
13,okha,53.5739,142.9478,-0.23,89,100,5.31,RU,2023-04-27
14,sydney,-33.8679,151.2073,19.65,82,0,3.6,AU,2023-04-27
15,puerto natales,-51.7236,-72.4875,3.62,94,79,2.3,CL,2023-04-27
16,magadan,59.5667,150.8,0.73,71,2,4.35,RU,2023-04-27
17,iskateley,67.6803,53.1512,-4.62,89,99,4.02,RU,2023-04-27
18,west island,-12.1568,96.8225,26.99,89,75,5.66,CC,2023-04-27
19,waitangi,-43.9535,-176.5597,12.68,76,99,2.24,NZ,2023-04-27
20,hithadhoo,-0.6,73.0833,28.43,77,99,3.81,MV,2023-04-27
21,pazarcik,37.4869,37.2996,9.11,85,26,1.9,TR,2023-04-27
22,carutapera,-1.195,-46.02,24.17,93,91,1.84,BR,2023-04-27
23,ati,13.2154,18.3353,30.53,11,35,4.67,TD,2023-04-27
24,minden,52.2833,8.9167,8.31,59,75,0.51,DE,2023-04-27
25,ushuaia,-54.8,-68.3,5.79,65,40,8.23,AR,2023-04-27
26,stanley,54.868,-1.6985,7.09,82,20,3.09,GB,2023-04-27
27,albany,42.6001,-73.9662,15.24,47,45,0.79,US,2023-04-27
28,basco,20.4487,121.9702,25.66,86,52,7.44,PH,2023-04-27
29,shimanovsk,52.0,127.7,3.78,44,16,3.66,RU,2023-04-27
30,blackmans bay,-43.0167,147.3167,17.07,88,24,4.33,AU,2023-04-27
31,bredasdorp,-34.5322,20.0403,13.54,85,7,2.44,ZA,2023-04-27
32,edinburgh of the seven seas,-37.0676,-12.3116,16.61,78,81,5.33,SH,2023-04-27
33,chibougamau,49.9168,-74.3659,6.79,49,100,2.06,CA,2023-04-27
34,rumbek,6.802,29.6912,27.52,64,90,1.11,SS,2023-04-27
35,keflavik,64.0049,-22.5624,1.95,86,75,4.63,IS,2023-04-27
36,arno,60.1167,18.6333,2.66,84,46,2.5,SE,2023-04-27
37,happy valley-goose bay,53.3168,-60.3315,10.17,46,75,3.09,CA,2023-04-27
38,afaahiti,-17.75,-149.2833,29.93,77,86,4.15,PF,2023-04-27
39,utete,-7.986,38.758,22.45,85,86,1.33,TZ,2023-04-27
40,laascaanood,8.4774,47.3597,21.47,89,99,6.07,SO,2023-04-27
41,nyandoma,61.669,40.1991,2.77,89,100,3.36,RU,2023-04-27
42,tura,25.5198,90.2201,23.38,49,72,0.69,IN,2023-04-27
43,carnarvon,-24.8667,113.6333,19.3,52,93,10.48,AU,2023-04-27
44,st. john's,47.5649,-52.7093,2.38,91,75,5.14,CA,2023-04-27
45,la'ie,21.6477,-157.9253,24.5,85,31,3.31,US,2023-04-27
46,bilibino,68.0546,166.4372,-6.58,66,10,0.5,RU,2023-04-27
47,villaguay,-31.8653,-59.0269,18.89,72,64,3.41,AR,2023-04-27
48,guozhen,34.3659,107.359,13.93,58,100,1.07,CN,2023-04-27
49,svetlyy,54.675,20.1347,4.03,78,4,5.06,RU,2023-04-27
50,dois vizinhos,-25.7336,-53.0572,14.74,84,43,1.83,BR,2023-04-27
51,queenstown,-31.8976,26.8753,14.19,87,70,2.04,ZA,2023-04-27
52,mwene-ditu,-7.0,23.45,18.6,90,28,1.77,CD,2023-04-27
53,vila franca do campo,37.7167,-25.4333,17.23,90,100,5.6,PT,2023-04-27
54,klyuchi,52.2667,79.1667,13.51,54,72,4.19,RU,2023-04-27
55,labuan,5.2767,115.2417,26.2,94,20,0.0,MY,2023-04-27
56,hawaiian paradise park,19.5933,-154.9731,27.73,71,0,6.17,US,2023-04-27
57,belem de sao francisco,-8.7539,-38.9658,26.54,65,97,2.44,BR,2023-04-27
58,box elder,41.5005,-112.8764,18.46,36,100,8.21,US,2023-04-27
59,iqaluit,63.7506,-68.5145,-1.15,100,100,5.66,CA,2023-04-27
60,undurkhaan,47.3194,110.6556,0.45,53,58,4.08,MN,2023-04-27
61,midvagur,62.0511,-7.1939,1.46,80,74,4.12,FO,2023-04-27
62,les anglais,18.3054,-74.2197,26.34,76,87,0.42,HT,2023-04-27
63,capo d'orlando,38.1435,14.7305,14.12,45,18,2.59,IT,2023-04-27
64,buala,-8.145,159.5921,29.69,67,27,1.44,SB,2023-04-27
65,colonia,50.9333,6.95,12.75,60,0,2.57,DE,2023-04-27
66,hotan,37.0997,79.9269,12.02,48,53,2.94,CN,2023-04-27
67,olonkinbyen,70.9221,-8.7187,-1.72,95,100,10.8,SJ,2023-04-27
68,haiku-pauwela,20.9219,-156.3051,24.54,82,75,5.66,US,2023-04-27
69,udachny,66.4167,112.4,-7.97,95,77,1.94,RU,2023-04-27
70,nueva gerona,21.8833,-82.8,28.3,62,100,5.61,CU,2023-04-27
71,ola,59.5833,151.2833,0.45,75,2,4.39,RU,2023-04-27
72,tegueste,28.5167,-16.3167,21.16,65,0,4.47,ES,2023-04-27
73,meadow lakes,61.6247,-149.6011,9.98,46,40,2.06,US,2023-04-27
74,ponta delgada,37.7333,-25.6667,17.4,94,20,6.17,PT,2023-04-27
75,tarawa,1.419,172.984,30.05,74,20,5.14,KI,2023-04-27
76,port-vila,-17.7338,168.3219,27.78,69,40,3.6,VU,2023-04-27
77,tralee,52.2704,-9.7026,9.39,95,81,1.7,IE,2023-04-27
78,jertih,5.7336,102.4897,24.26,89,90,1.37,MY,2023-04-27
79,hermanus,-34.4187,19.2345,15.6,83,17,4.99,ZA,2023-04-27
80,floro,61.5996,5.0328,2.98,65,7,2.57,NO,2023-04-27
81,balykshi,47.0667,51.8667,12.0,87,7,2.0,KZ,2023-04-27
82,ad dabbah,18.05,30.95,28.67,11,22,8.05,SD,2023-04-27
83,honnali,14.25,75.6667,24.11,77,44,0.61,IN,2023-04-27
84,sarakhs,36.5449,61.1577,19.94,12,9,2.13,IR,2023-04-27
85,lompoc,34.6391,-120.4579,28.77,77,75,3.09,US,2023-04-27
86,petropavlovsk-kamchatsky,53.0452,158.6483,3.33,45,40,2.0,RU,2023-04-27
87,pucon,-39.2822,-71.9543,15.29,73,89,0.69,CL,2023-04-27
88,invercargill,-46.4,168.35,11.68,82,51,0.89,NZ,2023-04-27
89,morogoro,-6.8167,37.6667,19.86,85,63,0.96,TZ,2023-04-27
90,bonthe,7.5264,-12.505,26.92,77,62,3.27,SL,2023-04-27
91,avarua,-21.2078,-159.775,26.03,69,100,2.57,CK,2023-04-27
92,lebu,-37.6167,-73.65,14.52,93,100,5.14,CL,2023-04-27
93,lihue,21.9789,-159.3672,27.58,66,0,5.14,US,2023-04-27
94,antsiranana,-12.2787,49.2917,25.4,78,49,6.76,MG,2023-04-27
95,langzhong,31.5504,105.9938,16.3,63,99,3.73,CN,2023-04-27
96,karratha,-20.7377,116.8463,27.02,54,99,1.58,AU,2023-04-27
97,puerto ayora,-0.7393,-90.3518,30.98,88,65,2.24,EC,2023-04-27
98,aasiaat,68.7098,-52.8699,-4.99,94,18,1.34,GL,2023-04-27
99,ust-nera,64.5667,143.2,-3.35,83,24,0.8,RU,2023-04-27
100,el granada,37.5027,-122.4694,33.78,66,40,5.14,US,2023-04-27
101,wailua homesteads,22.0669,-159.378,27.24,66,0,5.14,US,2023-04-27
102,hamilton,39.1834,-84.5333,19.69,42,0,5.66,US,2023-04-27
103,qui nhon,13.7667,109.2333,24.61,87,55,2.23,VN,2023-04-27
104,shimoda,34.6667,138.95,19.5,68,62,4.32,JP,2023-04-27
105,papatowai,-46.5619,169.4708,13.04,76,7,1.02,NZ,2023-04-27
106,naze,28.3667,129.4833,20.51,73,99,4.81,JP,2023-04-27
107,mo i rana,66.3128,14.1428,2.96,89,100,0.51,NO,2023-04-27
108,kill devil hills,36.0307,-75.676,16.1,82,40,5.14,US,2023-04-27
109,boa vista,2.8197,-60.6733,29.99,58,40,2.06,BR,2023-04-27
110,mangai,-4.05,19.5333,22.05,93,18,0.58,CD,2023-04-27
111,panama city beach,30.1766,-85.8055,19.01,94,100,5.14,US,2023-04-27
112,port mathurin,-19.6833,63.4167,25.89,81,64,6.66,MU,2023-04-27
113,college,64.8569,-147.8028,7.18,47,40,3.09,US,2023-04-27
114,enewetak,11.3474,162.3373,27.02,80,47,9.46,MH,2023-04-27
115,isangel,-19.55,169.2667,26.22,70,74,4.79,VU,2023-04-27
116,masterton,-40.9597,175.6575,14.94,70,21,1.14,NZ,2023-04-27
117,rongelap,11.1635,166.8941,27.04,82,56,9.46,MH,2023-04-27
118,hammerfest,70.6634,23.6821,6.25,61,0,5.66,NO,2023-04-27
119,namibe,-15.1961,12.1522,23.43,75,27,0.16,AO,2023-04-27
120,borogontsy,62.6683,131.1683,-0.5,96,100,1.71,RU,2023-04-27
121,shakawe,-18.3667,21.85,19.58,37,8,1.41,BW,2023-04-27
122,adrar,20.5022,-10.0711,30.93,10,0,3.22,MR,2023-04-27
123,imbituba,-28.24,-48.6703,19.54,86,1,3.76,BR,2023-04-27
124,revda,56.801,59.9303,9.8,86,9,3.55,RU,2023-04-27
125,georgetown,5.4112,100.3354,26.96,94,20,1.54,MY,2023-04-27
126,ramadi,33.4226,43.3058,25.91,13,2,5.22,IQ,2023-04-27
127,konarka,19.9,86.1167,27.22,85,32,4.41,IN,2023-04-27
128,atafu village,-8.5421,-172.5159,28.86,72,41,7.09,TK,2023-04-27
129,kecskemet,46.9062,19.6913,4.95,70,0,1.03,HU,2023-04-27
130,arkalyk,50.2486,66.9114,14.92,35,54,3.75,KZ,2023-04-27
131,inarajan village,13.2736,144.7484,28.55,89,20,8.74,GU,2023-04-27
132,changzhi,35.2089,111.7386,13.33,74,99,3.66,CN,2023-04-27
133,baie-saint-paul,47.4411,-70.4986,13.47,77,50,0.56,CA,2023-04-27
134,mili,6.0815,171.735,28.18,77,86,7.66,MH,2023-04-27
135,newport,51.5877,-2.9984,12.47,94,100,3.95,GB,2023-04-27
136,jakarta,-6.2146,106.8451,26.72,91,20,1.54,ID,2023-04-27
137,tashtyp,52.7939,89.8983,6.04,92,100,2.58,RU,2023-04-27
138,funafuti,-8.5243,179.1942,31.0,84,40,5.14,TV,2023-04-27
139,promyshlennaya,54.9159,85.6385,8.53,64,100,3.91,RU,2023-04-27
140,tosontsengel,48.7567,98.2839,-4.59,48,63,2.45,MN,2023-04-27
141,reyes,-14.3167,-67.3833,31.98,66,67,0.0,BO,2023-04-27
142,ayr,55.4627,-4.6339,9.99,76,100,3.6,GB,2023-04-27
143,amboasary,-25.0333,46.3833,19.1,93,0,2.72,MG,2023-04-27
144,adelia maria,-33.6315,-64.021,19.8,62,34,2.24,AR,2023-04-27
145,la passe,45.5549,-0.8967,15.13,90,98,1.65,FR,2023-04-27
146,kapuskasing,49.4169,-82.4331,4.05,87,100,6.69,CA,2023-04-27
147,sabha,27.0377,14.4283,24.79,19,0,6.18,LY,2023-04-27
148,eureka,40.8021,-124.1637,21.78,68,15,2.68,US,2023-04-27
149,port elizabeth,-33.918,25.5701,18.39,92,40,3.09,ZA,2023-04-27
150,mataram,-8.5833,116.1167,25.45,84,89,1.28,ID,2023-04-27
151,lamar,33.6668,-95.5836,19.8,74,100,7.2,US,2023-04-27
152,pangai,-19.8,-174.35,28.06,83,75,7.2,TO,2023-04-27
153,arraial do cabo,-22.9661,-42.0278,23.98,88,20,3.6,BR,2023-04-27
154,san jose,37.3394,-121.895,35.29,25,75,4.12,US,2023-04-27
155,talnakh,69.4865,88.3972,-12.64,96,90,1.4,RU,2023-04-27
156,alice springs,-23.7,133.8833,17.75,68,75,4.44,AU,2023-04-27
157,chonchi,-42.6128,-73.8092,11.73,98,100,2.56,CL,2023-04-27
158,cidreira,-30.1811,-50.2056,18.31,78,1,2.71,BR,2023-04-27
159,thompson,55.7435,-97.8558,5.09,48,20,5.66,CA,2023-04-27
160,tazovsky,67.4667,78.7,-7.2,93,100,3.66,RU,2023-04-27
161,sogndal,61.2283,7.1003,1.21,69,23,0.0,NO,2023-04-27
162,shchuchinsk,52.9333,70.2,13.54,45,100,4.05,KZ,2023-04-27
163,kuanda,56.3161,116.0806,-0.75,59,28,0.45,RU,2023-04-27
164,road town,18.4167,-64.6167,28.05,74,40,2.57,VG,2023-04-27
165,dudinka,69.4058,86.1778,-18.22,100,99,1.16,RU,2023-04-27
166,gizo,-8.103,156.8419,29.28,70,72,2.13,SB,2023-04-27
167,grootfontein,-19.5667,18.1167,21.68,35,75,2.94,NA,2023-04-27
168,okahandja,-21.9833,16.9167,22.31,46,68,1.33,NA,2023-04-27
169,bethel,41.3712,-73.414,13.34,78,75,3.09,US,2023-04-27
170,acapulco de juarez,16.8634,-99.8901,29.9,62,75,6.17,MX,2023-04-27
171,bubaque,11.2833,-15.8333,25.93,73,25,9.36,GW,2023-04-27
172,susuman,62.7833,148.1667,-3.78,81,94,1.58,RU,2023-04-27
173,whitehorse,60.7161,-135.0538,7.43,43,75,6.71,CA,2023-04-27
174,aden,12.7794,45.0367,29.13,72,74,3.5,YE,2023-04-27
175,marka,1.7159,44.7717,27.61,80,100,5.68,SO,2023-04-27
176,minas de marcona,-15.2119,-75.1103,17.66,79,9,5.6,PE,2023-04-27
177,tolanaro,-25.0319,46.9987,22.04,88,75,3.09,MG,2023-04-27
178,linxia chengguanzhen,35.6003,103.2064,3.81,73,81,1.23,CN,2023-04-27
179,alofi,-19.0595,-169.9187,26.94,89,75,3.6,NU,2023-04-27
180,barah,13.7,30.3667,31.11,18,80,4.37,SD,2023-04-27
181,dakoro,14.5106,6.765,31.28,22,50,3.47,NE,2023-04-27
182,ilulissat,69.2167,-51.1,-0.99,86,20,1.54,GL,2023-04-27
183,belyy yar,53.6039,91.3903,8.94,76,0,3.0,RU,2023-04-27
184,longyearbyen,78.2186,15.6401,-3.09,93,100,6.17,SJ,2023-04-27
185,luderitz,-26.6481,15.1594,15.32,69,2,5.02,NA,2023-04-27
186,sitka,57.0531,-135.33,6.94,81,100,5.14,US,2023-04-27
187,quincy,42.2529,-71.0023,13.32,85,100,3.09,US,2023-04-27
188,east london,-33.0153,27.9116,20.53,69,95,3.19,ZA,2023-04-27
189,lerwick,60.1545,-1.1494,4.0,81,84,7.42,GB,2023-04-27
190,saldanha,-33.0117,17.9442,14.03,83,0,1.13,ZA,2023-04-27
191,altai,46.3722,96.2583,-6.38,41,10,2.26,MN,2023-04-27
192,kerikeri,-35.2268,173.9474,16.62,95,100,5.06,NZ,2023-04-27
193,uturoa,-16.7333,-151.4333,27.93,76,62,3.26,PF,2023-04-27
194,tiksi,71.6872,128.8694,-7.91,86,15,0.65,RU,2023-04-27
195,birjand,32.8663,59.2211,14.26,24,0,3.09,IR,2023-04-27
196,lorengau,-2.0226,147.2712,28.62,77,82,1.02,PG,2023-04-27
197,luwuk,-0.9516,122.7875,26.85,81,99,0.53,ID,2023-04-27
198,grand falls-windsor,48.9332,-55.6649,4.17,77,51,3.58,CA,2023-04-27
199,chinde,26.8418,88.0763,16.06,38,10,2.64,NP,2023-04-27
200,presidente medici,-11.1753,-61.9014,23.89,92,10,0.47,BR,2023-04-27
201,flying fish cove,-10.4217,105.6791,27.07,82,100,7.87,CX,2023-04-27
202,ulanhot,46.0833,122.0833,9.79,52,91,1.27,CN,2023-04-27
203,uzgen,40.7699,73.3007,13.16,47,70,4.19,KG,2023-04-27
204,codrington,-38.2667,141.9667,12.06,83,98,6.81,AU,2023-04-27
205,sao felix do xingu,-6.6447,-51.995,23.49,91,100,0.77,BR,2023-04-27
206,jinxiang,27.4327,120.6062,17.58,86,95,1.95,CN,2023-04-27
207,viedma,-40.8135,-62.9967,17.98,31,98,3.39,AR,2023-04-27
208,kununurra,-15.7667,128.7333,21.99,88,19,0.0,AU,2023-04-27
209,yellowknife,62.456,-114.3525,5.29,75,75,7.2,CA,2023-04-27
210,bambanglipuro,-7.95,110.2833,25.03,88,100,1.53,ID,2023-04-27
211,reggane,26.7158,0.1714,30.39,8,0,5.94,DZ,2023-04-27
212,nemuro,43.3236,145.575,6.92,70,26,4.68,JP,2023-04-27
213,bamboo flat,11.7,92.7167,28.01,77,63,1.9,IN,2023-04-27
214,nova sintra,14.8667,-24.7167,19.9,79,17,9.51,CV,2023-04-27
215,anse-bertrand,16.4721,-61.5078,25.9,100,37,4.09,GP,2023-04-27
216,fort st. john,56.2499,-120.8529,12.94,30,75,9.77,CA,2023-04-27
217,sao vicente,-23.9631,-46.3919,24.1,26,92,0.23,BR,2023-04-27
218,nelson bay,-32.7167,152.15,20.61,80,8,2.24,AU,2023-04-27
219,saipan,15.1355,145.701,27.39,94,40,10.29,MP,2023-04-27
220,north bend,43.4065,-124.2243,27.36,71,0,10.29,US,2023-04-27
221,howrah,22.5892,88.3103,25.0,83,40,2.57,IN,2023-04-27
222,kokopo,-4.352,152.2633,28.46,71,27,0.32,PG,2023-04-27
223,nuuk,64.1835,-51.7216,2.34,80,0,7.72,GL,2023-04-27
224,anavyssos,37.7333,23.95,14.82,70,8,6.36,GR,2023-04-27
225,ruy barbosa,-12.2839,-40.4939,24.2,70,40,2.28,BR,2023-04-27
226,cabo san lucas,22.8909,-109.9124,28.67,41,0,5.14,MX,2023-04-27
227,sal rei,16.1833,-22.9167,21.92,81,35,6.95,CV,2023-04-27
228,ampanihy,-24.7,44.75,17.61,95,0,2.9,MG,2023-04-27
229,qaqortoq,60.7167,-46.0333,1.75,80,8,2.0,GL,2023-04-27
230,yen vinh,18.6667,105.6667,23.11,93,1,0.36,VN,2023-04-27
231,princeville,45.7668,-61.2985,7.4,76,100,3.09,CA,2023-04-27
232,greenland,43.0362,-70.8328,13.92,75,20,4.63,US,2023-04-27
233,galliano,29.4422,-90.2992,29.44,65,0,3.09,US,2023-04-27
234,quepos,9.4236,-84.1652,28.5,73,56,1.6,CR,2023-04-27
235,murun-kuren,49.6342,100.1625,-0.59,48,99,3.77,MN,2023-04-27
236,potam,27.6,-110.3833,29.44,23,0,5.1,MX,2023-04-27
237,riberalta,-10.9833,-66.1,31.11,66,40,2.06,BO,2023-04-27
238,tazacorte,28.629,-17.9293,20.08,69,0,2.57,ES,2023-04-27
239,ribeira grande,38.5167,-28.7,15.99,89,14,2.68,PT,2023-04-27
240,olyokminsk,60.3736,120.4264,1.24,74,23,0.95,RU,2023-04-27
241,itaiba,-8.9475,-37.4228,22.88,84,79,2.85,BR,2023-04-27
242,ebreichsdorf,47.95,16.4,10.06,74,89,2.06,AT,2023-04-27
243,mananara,-16.1667,49.7667,23.25,89,58,2.57,MG,2023-04-27
244,krasnyy chikoy,50.3643,108.7512,-1.73,88,87,1.8,RU,2023-04-27
245,mangalia,43.8,28.5833,7.79,67,88,6.95,RO,2023-04-27
246,alta,69.9689,23.2717,3.59,63,100,1.54,NO,2023-04-27
247,eirunepe,-6.6603,-69.8736,24.28,94,88,0.5,BR,2023-04-27
248,bardai,11.65,7.2333,23.97,72,100,8.64,NG,2023-04-27
249,gounou gaya,9.6294,15.5132,31.32,34,94,2.02,TD,2023-04-27
250,caconda,-13.7333,15.0667,15.48,65,100,1.78,AO,2023-04-27
251,labytnangi,66.6572,66.4183,-6.97,86,100,3.52,RU,2023-04-27
252,saint-philippe,-21.3585,55.7679,20.77,81,48,4.54,RE,2023-04-27
253,dogondoutchi,13.6393,4.0287,32.73,24,75,3.39,NE,2023-04-27
254,iquique,-20.2208,-70.1431,21.02,78,6,2.84,CL,2023-04-27
255,mora,11.0461,14.1401,33.95,22,99,1.81,CM,2023-04-27
256,san patricio,28.017,-97.5169,27.69,56,45,2.72,US,2023-04-27
257,weno,7.4515,151.8468,25.97,89,100,1.54,FM,2023-04-27
258,paita,-5.0892,-81.1144,26.87,75,30,5.93,PE,2023-04-27
259,daru,-9.0763,143.2092,27.42,83,95,5.53,PG,2023-04-27
260,bokani,9.4333,5.2,24.17,83,100,4.68,NG,2023-04-27
261,isafjordur,66.0755,-23.124,-1.6,65,13,3.12,IS,2023-04-27
262,anadyr,64.75,177.4833,-8.72,78,0,4.0,RU,2023-04-27
263,constantia,44.1833,28.65,6.38,62,98,7.67,RO,2023-04-27
264,ivanava,52.1451,25.5365,2.47,82,19,3.16,BY,2023-04-27
265,baker city,44.7749,-117.8344,20.89,34,0,9.77,US,2023-04-27
266,kampokpok,11.2962,124.405,27.46,81,25,3.49,PH,2023-04-27
267,lagos,6.5833,3.75,27.18,82,100,1.6,NG,2023-04-27
268,badger,64.8,-147.5333,7.14,44,40,3.09,US,2023-04-27
269,kavaratti,10.5669,72.642,28.23,73,92,2.19,IN,2023-04-27
270,ban dan lan hoi,17.0068,99.575,24.81,70,0,0.74,TH,2023-04-27
271,murzuq,25.9155,13.9184,24.91,15,0,4.77,LY,2023-04-27
272,lev tolstoy,53.2134,39.446,10.6,85,100,3.19,RU,2023-04-27
273,mossel bay,-34.1831,22.146,16.96,80,85,1.86,ZA,2023-04-27
274,hadibu,12.65,54.0333,28.28,75,40,3.72,YE,2023-04-27
275,pyu,18.4833,96.4333,25.01,75,3,2.15,MM,2023-04-27
276,yelizovo,53.1873,158.3805,4.08,44,40,2.0,RU,2023-04-27
277,gorontalo,0.5412,123.0595,25.17,89,84,0.96,ID,2023-04-27
278,buulobarde,3.8538,45.5674,27.25,76,90,4.96,SO,2023-04-27
279,hurricane,37.1753,-113.2899,29.19,13,31,2.12,US,2023-04-27
280,juan griego,11.0817,-63.9655,26.79,82,99,4.7,VE,2023-04-27
281,nar'yan-mar,67.6713,53.087,-4.54,88,98,4.04,RU,2023-04-27
282,kone,-21.0595,164.8658,24.72,70,61,3.93,NC,2023-04-27
283,east foothills,37.3811,-121.8175,34.13,25,75,6.26,US,2023-04-27
284,zhalantun,48.0,122.7167,7.84,44,74,2.66,CN,2023-04-27
285,aleg,17.0481,-13.9209,33.52,12,0,3.43,MR,2023-04-27
286,vorkuta,67.5,64.0,-6.06,93,51,5.89,RU,2023-04-27
287,malaya purga,56.5567,53.0043,11.39,94,9,2.77,RU,2023-04-27
288,port blair,11.6667,92.75,28.03,77,66,1.98,IN,2023-04-27
289,kushiro,42.975,144.3747,13.53,38,40,6.17,JP,2023-04-27
290,ibarreta,-25.2144,-59.8585,19.53,67,1,2.19,AR,2023-04-27
291,smithers,54.7804,-127.1743,9.18,49,75,5.14,CA,2023-04-27
292,kendari,-3.945,122.4989,25.09,92,71,0.26,ID,2023-04-27
293,bratsk,56.1325,101.6142,-0.73,98,100,2.84,RU,2023-04-27
294,ndioum,16.5129,-14.6471,29.94,30,0,5.76,SN,2023-04-27
295,quibala,-10.7337,14.98,16.19,89,40,1.2,AO,2023-04-27
296,sungai besar,3.6746,100.9867,24.58,94,99,2.21,MY,2023-04-27
297,wielun,51.221,18.5696,3.45,81,11,1.39,PL,2023-04-27
298,victorica,-36.2151,-65.4359,21.72,40,45,3.97,AR,2023-04-27
299,kailua-kona,19.6406,-155.9956,26.98,83,40,3.6,US,2023-04-27
300,geraldton,-28.7667,114.6,10.23,81,0,5.66,AU,2023-04-27
301,gazipasa,36.2694,32.3179,12.05,94,20,3.09,TR,2023-04-27
302,vilyuchinsk,52.9306,158.4028,4.15,66,100,12.98,RU,2023-04-27
303,prince george,53.9166,-122.753,15.7,28,75,4.12,CA,2023-04-27
304,lahaina,20.8783,-156.6825,26.58,95,25,2.15,US,2023-04-27
305,kodiak,57.79,-152.4072,5.73,75,100,5.66,US,2023-04-27
306,anloga,5.7947,0.8973,24.59,84,100,3.89,GH,2023-04-27
307,kroya,-7.6331,109.2461,25.23,88,100,1.08,ID,2023-04-27
308,piensk,51.249,15.0469,5.1,80,100,1.38,PL,2023-04-27
309,jayapura,-2.5333,140.7,27.66,84,97,1.76,ID,2023-04-27
310,severo-yeniseyskiy,60.3725,93.0408,-3.3,95,100,1.53,RU,2023-04-27
311,el hed,36.65,4.7736,14.4,32,49,1.72,DZ,2023-04-27
312,mont-dore,-22.2833,166.5833,25.0,99,83,5.35,NC,2023-04-27
313,narvik,68.4384,17.4272,3.67,92,96,2.63,NO,2023-04-27
314,aripuana,-9.1667,-60.6333,23.68,97,99,0.98,BR,2023-04-27
315,byron bay,-28.65,153.6167,18.17,76,33,1.5,AU,2023-04-27
316,medina,24.4686,39.6142,29.24,10,0,4.63,SA,2023-04-27
317,broken hill,-31.95,141.4333,17.9,53,35,3.74,AU,2023-04-27
318,kantang,7.4054,99.5156,25.05,100,20,0.51,TH,2023-04-27
319,qarazhal,48.0078,70.7903,13.51,32,12,3.23,KZ,2023-04-27
320,jiazi,22.8779,116.067,20.95,85,81,4.17,CN,2023-04-27
321,jalal-abad,40.9333,73.0,14.8,46,46,4.13,KG,2023-04-27
322,kavieng,-2.5744,150.7967,28.45,77,73,2.48,PG,2023-04-27
323,yerofey pavlovich,53.9667,121.9667,1.97,52,44,1.97,RU,2023-04-27
324,mokhsogollokh,61.4681,128.9203,-0.81,92,100,1.51,RU,2023-04-27
325,labrador city,52.9463,-66.9114,10.95,46,20,4.12,CA,2023-04-27
326,uray,60.1247,64.7758,2.28,92,99,5.94,RU,2023-04-27
327,newman,37.3138,-121.0208,33.19,27,9,1.79,US,2023-04-27
328,walvis bay,-22.9575,14.5053,15.05,64,1,4.87,NA,2023-04-27
329,rawlins,41.7911,-107.2387,4.94,81,75,10.8,US,2023-04-27
330,fostoria,41.157,-83.4169,13.88,51,100,8.05,US,2023-04-27
331,hasaki,35.7333,140.8333,21.79,67,29,7.52,JP,2023-04-27
332,lazaro cardenas,17.9583,-102.2,28.34,54,100,4.81,MX,2023-04-27
333,montepuez,-13.1256,38.9997,18.02,97,41,2.52,MZ,2023-04-27
334,vennesla,58.2694,7.9741,4.04,54,20,1.03,NO,2023-04-27
335,belmonte,-15.8631,-38.8828,24.77,78,0,3.5,BR,2023-04-27
336,fisterra,42.9049,-9.2629,15.01,74,100,2.45,ES,2023-04-27
337,pionerskiy,54.9508,20.2275,3.91,77,20,7.22,RU,2023-04-27
338,swan hill,-35.3378,143.5544,18.04,61,71,4.6,AU,2023-04-27
339,bela,25.9333,81.9833,28.28,26,79,1.15,IN,2023-04-27
340,battagram,34.6772,73.0233,13.04,75,90,2.47,PK,2023-04-27
341,bengkulu,-3.8004,102.2655,24.03,93,99,1.88,ID,2023-04-27
342,nago,26.5881,127.9761,21.24,77,100,4.09,JP,2023-04-27
